title,year,time,genres,links,rating,thumb,plot,director,stars,new_links,movieId
Toy Story,1995,1h 21m,"Animation, Adventure, Comedy",tt0114709,8.3,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
            ",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",114709,1
Heat,1995,2h 50m,"Crime, Drama, Thriller",tt0113277,8.2,"https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
            ",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",113277,6
Casino,1995,2h 58m,"Crime, Drama",tt0112641,8.2,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.
            ",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",112641,16
Se7en,1995,2h 7m,"Crime, Drama, Mystery",tt0114369,8.6,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
            ",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",114369,47
The Usual Suspects,1995,1h 46m,"Crime, Mystery, Thriller",tt0114814,8.6,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
            ",Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",114814,50
La haine,1995,1h 38m,"Crime, Drama",tt0113247,8.1,"https://m.media-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    24 hours in the lives of three young men in the French suburbs the day after a violent riot.
            ",Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",113247,97
Braveheart,1995,2h 58m,"Biography, Drama, History",tt0112573,8.4,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.
            ",Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan",112573,110
Taxi Driver,1976,1h 54m,"Crime, Drama",tt0075314,8.3,"https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.
            ",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd",75314,111
Before Sunrise,1995,1h 41m,"Drama, Romance",tt0112471,8.1,"https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.
            ",Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert",112471,215
Star Wars,1977,2h 1m,"Action, Adventure, Fantasy",tt0076759,8.6,"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.
            ",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",76759,260
Léon,1994,1h 50m,"Crime, Drama, Thriller",tt0110413,8.6,"https://m.media-amazon.com/images/M/MV5BZDAwYTlhMDEtNTg0OS00NDY2LWJjOWItNWY3YTZkM2UxYzUzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.
            ",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman",110413,293
Pulp Fiction,1994,2h 34m,"Crime, Drama",tt0110912,8.9,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","
                    The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
            ",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",110912,296
Trois couleurs: Rouge,1994,1h 39m,"Drama, Mystery, Romance",tt0111495,8.1,"https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A model discovers her neighbor is keen on invading people's privacy.
            ",Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder",111495,306
The Shawshank Redemption,1994,2h 22m,Drama,tt0111161,9.3,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
            ",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",111161,318
Forrest Gump,1994,2h 22m,"Drama, Romance",tt0109830,8.8,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","
                    The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.
            ",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",109830,356
The Lion King,1994,1h 28m,"Animation, Adventure, Drama",tt0110357,8.5,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.
            ",Roger Allers,"Matthew Broderick, Jeremy Irons, James Earl Jones",110357,364
In the Name of the Father,1993,2h 13m,"Biography, Drama",tt0107207,8.1,"https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
            ",Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",107207,475
Jurassic Park,1993,2h 7m,"Adventure, Sci-Fi, Thriller",tt0107290,8.1,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.
            ",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum",107290,480
Schindler's List,1993,3h 15m,"Biography, Drama, History",tt0108052,8.9,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.
            ",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley",108052,527
Blade Runner,1982,1h 57m,"Sci-Fi, Thriller",tt0083658,8.2,"https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.
            ",Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",83658,541
Terminator 2: Judgment Day,1991,2h 17m,"Action, Sci-Fi",tt0103064,8.5,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.
            ",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",103064,589
The Silence of the Lambs,1991,1h 58m,"Crime, Drama, Thriller",tt0102926,8.6,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
            ",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney",102926,593
Fargo,1996,1h 38m,"Crime, Drama, Thriller",tt0116282,8.1,"https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
            ",Joel Coen,"William H. Macy, Frances McDormand, Steve Buscemi",116282,608
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,Comedy,tt0057012,8.4,"https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
            ",Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden",57012,750
Trainspotting,1996,1h 33m,Drama,tt0117951,8.2,"https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.
            ",Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",117951,778
The Godfather,1972,2h 55m,"Crime, Drama",tt0068646,9.2,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
            ",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",68646,858
Singin' in the Rain,1952,1h 43m,"Comedy, Musical, Romance",tt0045152,8.3,"https://m.media-amazon.com/images/M/MV5BMWUyNjQ5MTAtNDJhYS00MWQ0LTk2ZTAtZmE4MWNlMjMwMzg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A silent film production company and cast make a difficult transition to sound.
            ",Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds",45152,899
Vertigo,1958,2h 8m,"Mystery, Romance, Thriller",tt0052357,8.3,"https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
            ",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",52357,903
Rear Window,1954,1h 52m,"Mystery, Thriller",tt0047396,8.5,"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
            ",Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey",47396,904
It Happened One Night,1934,1h 45m,"Comedy, Romance",tt0025316,8.1,"https://m.media-amazon.com/images/M/MV5BZmViYmM5OTYtNGQ4Ny00YjQyLThiNjEtYTE4MGZhZTNmZjcyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
            ",Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly",25316,905
North by Northwest,1959,2h 16m,"Adventure, Mystery, Thriller",tt0053125,8.3,"https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A hapless New York City advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.
            ",Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason",53125,908
The Apartment,1960,2h 5m,"Comedy, Drama, Romance",tt0053604,8.3,"https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.
            ",Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",53604,909
Some Like It Hot,1959,2h 1m,"Comedy, Romance",tt0053291,8.2,"https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.
            ",Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon",53291,910
Casablanca,1942,1h 42m,"Drama, Romance, War",tt0034583,8.5,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.
            ",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",34583,912
The Maltese Falcon,1941,1h 40m,"Film-Noir, Mystery",tt0033870,8.1,"https://m.media-amazon.com/images/M/MV5BZjIwNGM1ZTUtOThjYS00NDdiLTk2ZDYtNGY5YjJkNzliM2JjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.
            ",John Huston,"Humphrey Bogart, Mary Astor, Gladys George",33870,913
The Wizard of Oz,1939,1h 42m,"Adventure, Family, Fantasy",tt0032138,8.0,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
            ",Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger",32138,919
Gone with the Wind,1939,3h 58m,"Drama, History, Romance",tt0031381,8.2,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
            ",Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell",31381,920
Sunset Blvd.,1950,1h 50m,"Drama, Film-Noir",tt0043014,8.4,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship.
            ",Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",43014,922
Citizen Kane,1941,1h 59m,"Drama, Mystery",tt0033467,8.3,"https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.
            ",Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore",33467,923
2001: A Space Odyssey,1968,2h 29m,"Adventure, Sci-Fi",tt0062622,8.3,"https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After discovering a mysterious artifact buried beneath the lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL 9000.
            ",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester",62622,924
All About Eve,1950,2h 18m,Drama,tt0042192,8.3,"https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.
            ",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders",42192,926
Rebecca,1940,2h 10m,"Drama, Mystery, Romance",tt0032976,8.1,"https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    A self-conscious bride is tormented by the memory of her husband's dead first wife.
            ",Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders",32976,928
It's a Wonderful Life,1946,2h 10m,"Drama, Family, Fantasy",tt0038650,8.6,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","
                    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
            ",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore",38650,953
Mr. Smith Goes to Washington,1939,2h 9m,"Comedy, Drama",tt0031679,8.2,"https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.
            ",Frank Capra,"James Stewart, Jean Arthur, Claude Rains",31679,954
Die Hard,1988,2h 12m,"Action, Thriller",tt0095016,8.2,"https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
            ",John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",95016,1036
Life of Brian,1979,1h 34m,Comedy,tt0079470,8.1,"https://m.media-amazon.com/images/M/MV5BMzAwNjU1OTktYjY3Mi00NDY5LWFlZWUtZjhjNGE0OTkwZDkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.
            ",Terry Jones,"Graham Chapman, John Cleese, Michael Palin",79470,1080
Dial M for Murder,1954,1h 45m,"Crime, Thriller",tt0046912,8.2,"https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.
            ",Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings",46912,1086
Reservoir Dogs,1992,1h 39m,"Crime, Drama, Thriller",tt0105236,8.3,"https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.
            ",Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen",105236,1089
Platoon,1986,2h   ,"Drama, War",tt0091763,8.1,"https://m.media-amazon.com/images/M/MV5BM2Y1NTQyNWYtNDViNy00ZWRhLTk3MTMtOTI3ZGQ5MDFiNWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
            ",Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe",91763,1090
Monty Python and the Holy Grail,1975,1h 31m,"Adventure, Comedy, Fantasy",tt0071853,8.3,"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.
            ",Terry Gilliam,"Graham Chapman, John Cleese, Eric Idle",71853,1136
Nuovo Cinema Paradiso,1988,2h 35m,Drama,tt0095765,8.5,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
            ",Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili",95765,1172
