title,year,time,genres,links,rating,thumb,plot,director,stars,new_links,movieId
Paths of Glory,1957,1h 28m,"Drama, War",tt0050825,8.4,"https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY268_CR6,0,182,268_AL__QL50.jpg","
                    After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.
            ",Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",50825,1178
One Flew Over the Cuckoo's Nest,1975,2h 13m,Drama,tt0073486,8.7,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
            ",Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson",73486,1193
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,"Action, Adventure, Fantasy",tt0080684,8.8,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.
            ",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",80684,1196
The Princess Bride,1987,1h 38m,"Adventure, Family, Fantasy",tt0093779,8.1,"https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.
            ",Rob Reiner,"Cary Elwes, Mandy Patinkin, Robin Wright",93779,1197
Raiders of the Lost Ark,1981,1h 55m,"Action, Adventure",tt0082971,8.5,"https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.
            ",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman",82971,1198
Aliens,1986,2h 17m,"Action, Adventure, Sci-Fi",tt0090605,8.4,"https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?
            ",James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn",90605,1200
"Il buono, il brutto, il cattivo",1966,2h 41m,Western,tt0060196,8.9,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
            ",Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",60196,1201
12 Angry Men,1957,1h 36m,Drama,tt0050083,8.9,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
            ",Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",50083,1203
Lawrence of Arabia,1962,3h 36m,"Adventure, Biography, Drama",tt0056172,8.3,"https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","
                    The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.
            ",David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn",56172,1204
A Clockwork Orange,1971,2h 16m,"Crime, Drama, Sci-Fi",tt0066921,8.3,"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.
            ",Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates",66921,1206
To Kill a Mockingbird,1962,2h 9m,"Crime, Drama",tt0056592,8.3,"https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.
            ",Robert Mulligan,"Gregory Peck, John Megna, Frank Overton",56592,1207
Apocalypse Now,1979,2h 27m,"Drama, War",tt0078788,8.5,"https://m.media-amazon.com/images/M/MV5BZTNkZmU0ZWQtZjQzMy00YTNmLWFmN2MtZGNkMmU1OThmMGYwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.
            ",Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall",78788,1208
Once Upon a Time in the West,1968,2h 45m,Western,tt0064116,8.5,"https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
            ",Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale",64116,1209
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,"Action, Adventure, Fantasy",tt0086190,8.3,"https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.
            ",Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher",86190,1210
The Third Man,1949,1h 44m,"Film-Noir, Mystery, Thriller",tt0041959,8.2,"https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.
            ",Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli",41959,1212
Goodfellas,1990,2h 26m,"Crime, Drama",tt0099685,8.7,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
            ",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",99685,1213
Alien,1979,1h 56m,"Horror, Sci-Fi",tt0078748,8.5,"https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.
            ",Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt",78748,1214
Ran,1985,2h 42m,"Action, Drama",tt0089881,8.2,"https://m.media-amazon.com/images/M/MV5BZDBjZTM4ZmEtOTA5ZC00NTQzLTkyNzYtMmUxNGU2YjI5YjU5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.
            ",Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",89881,1217
Psycho,1960,1h 49m,"Horror, Mystery, Thriller",tt0054215,8.5,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.
            ",Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles",54215,1219
The Godfather: Part II,1974,3h 22m,"Crime, Drama",tt0071562,9.0,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","
                    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
            ",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",71562,1221
Full Metal Jacket,1987,1h 56m,"Drama, War",tt0093058,8.3,"https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
            ",Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",93058,1222
Amadeus,1984,2h 40m,"Biography, Drama, History",tt0086879,8.3,"https://m.media-amazon.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of Mozart's talent and claimed to have murdered him.
            ",Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge",86879,1225
Once Upon a Time in America,1984,3h 49m,"Crime, Drama",tt0087843,8.4,"https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.
            ",Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern",87843,1227
Raging Bull,1980,2h 9m,"Biography, Drama, Sport",tt0081398,8.2,"https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    The life of boxer Jake LaMotta, as the violence and temper that leads him to the top in the ring destroys his life outside of it.
            ",Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci",81398,1228
Stalker,1979,2h 42m,"Drama, Sci-Fi",tt0079944,8.1,"https://m.media-amazon.com/images/M/MV5BMjM2YWM5NmQtZTA1Yi00OGUzLTllNTQtMDJiZTcwYTlhZjkyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A guide leads two men through an area known as the Zone to find a room that grants wishes.
            ",Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn",79944,1232
Das Boot,1981,2h 29m,"Adventure, Drama, Thriller",tt0082096,8.4,"https://m.media-amazon.com/images/M/MV5BNGRmOWY0MGUtNTVhMy00NzRlLTljNDAtNTBiNTRlODgxNmY2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR4,0,182,268_AL__QL50.jpg","
                    The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.
            ",Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",82096,1233
The Sting,1973,2h 9m,"Comedy, Crime, Drama",tt0070735,8.3,"https://m.media-amazon.com/images/M/MV5BZWNmODRmOTAtYTJhYi00NjllLTg3MTktNTBmZDZiNjJjZWVjXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Two grifters team up to pull off the ultimate con.
            ",George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw",70735,1234
Det sjunde inseglet,1957,1h 36m,"Drama, Fantasy",tt0050976,8.2,"https://m.media-amazon.com/images/M/MV5BN2Q0MzM1MWItNzhhOS00MDc2LTlkNDUtNDIwNDAxNTA0NWY0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR5,0,182,268_AL__QL50.jpg","
                    A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.
            ",Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",50976,1237
The Terminator,1984,1h 47m,"Action, Sci-Fi",tt0088247,8.0,"https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A seemingly indestructible android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.
            ",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",88247,1240
Dead Poets Society,1989,2h 8m,"Comedy, Drama",tt0097165,8.1,"https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
            ",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke",97165,1246
The Bridge on the River Kwai,1957,2h 41m,"Adventure, Drama, War",tt0050212,8.2,"https://m.media-amazon.com/images/M/MV5BMGVhNjhjODktODgxYS00MDdhLTlkZjktYTkyNzQxMTU0ZDYxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After settling his differences with a Japanese P.O.W. camp commander, a British Colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.
            ",David Lean,"William Holden, Alec Guinness, Jack Hawkins",50212,1250
Chinatown,1974,2h 10m,"Drama, Mystery, Thriller",tt0071315,8.2,"https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.
            ",Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston",71315,1252
The Treasure of the Sierra Madre,1948,2h 6m,"Adventure, Drama, Western",tt0040897,8.2,"https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
            ",John Huston,"Humphrey Bogart, Walter Huston, Tim Holt",40897,1254
The Shining,1980,2h 26m,"Drama, Horror",tt0081505,8.4,"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.
            ",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd",81505,1258
Stand by Me,1986,1h 29m,"Adventure, Drama",tt0092005,8.1,"https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.
            ",Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman",92005,1259
M - Eine Stadt sucht einen Mörder,1931,1h 57m,"Crime, Mystery, Thriller",tt0022100,8.3,"https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.
            ",Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut",22100,1260
The Great Escape,1963,2h 52m,"Adventure, Drama, History",tt0057115,8.2,"https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
            ",John Sturges,"Steve McQueen, James Garner, Richard Attenborough",57115,1262
The Deer Hunter,1978,3h 3m,"Drama, War",tt0077416,8.1,"https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
            ",Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale",77416,1263
Groundhog Day,1993,1h 41m,"Comedy, Fantasy, Romance",tt0107048,8.0,"https://m.media-amazon.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A weatherman finds himself inexplicably living the same day over and over again.
            ",Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott",107048,1265
Unforgiven,1992,2h 10m,"Drama, Western",tt0105695,8.2,"https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.
            ",Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman",105695,1266
Back to the Future,1985,1h 56m,"Adventure, Comedy, Sci-Fi",tt0088763,8.5,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.
            ",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",88763,1270
Cool Hand Luke,1967,2h 6m,"Crime, Drama",tt0061512,8.1,"https://m.media-amazon.com/images/M/MV5BOWFlNzZhYmYtYTI5YS00MDQyLWIyNTUtNTRjMWUwNTEzNjA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.
            ",Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin",61512,1276
The Great Dictator,1940,2h 5m,"Comedy, Drama, War",tt0032553,8.5,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
            ",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie",32553,1281
Ben-Hur,1959,3h 32m,"Adventure, Drama, History",tt0052618,8.1,"https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.
            ",William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd",52618,1287
Indiana Jones and the Last Crusade,1989,2h 7m,"Action, Adventure, Fantasy",tt0097576,8.2,"https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against Adolf Hitler's Nazis again to stop them obtaining its powers.
            ",Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody",97576,1291
Gandhi,1982,3h 11m,"Biography, Drama, History",tt0083987,8.1,"https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed.
            ",Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi",83987,1293
Butch Cassidy and the Sundance Kid,1969,1h 50m,"Biography, Crime, Drama",tt0064115,8.1,"https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.
            ",George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross",64115,1304
"Paris, Texas",1984,2h 25m,Drama,tt0087884,8.1,"https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.
            ",Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell",87884,1305
Jaws,1975,2h 4m,"Adventure, Drama, Thriller",tt0073195,8.0,"https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","
                    When a killer shark unleashes chaos on a beach resort, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.
            ",Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss",73195,1387
L.A. Confidential,1997,2h 18m,"Crime, Drama, Mystery",tt0119488,8.3,"https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","
                    As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.
            ",Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce",119488,1617
